model_name,metric_name,score,Model,Index
deepseek,Cosine,0.4928132625988671,deepseek,96
deepseek,Levenshtein,0.5583620359739763,deepseek,96
deepseek,BLEU,0.031309869812167206,deepseek,97
deepseek,Cosine,0.3873524178322866,deepseek,97
deepseek,Levenshtein,0.4053241734650065,deepseek,97
deepseek,BLEU,0.1407798920082411,deepseek,98
deepseek,Cosine,0.7650931092057054,deepseek,98
deepseek,Levenshtein,0.5544142143253747,deepseek,98
deepseek,BLEU,0.3533914437244694,deepseek,99
deepseek,Cosine,0.5615214756722753,deepseek,99
deepseek,Levenshtein,0.4598075982390347,deepseek,99
deepseek,BLEU,0.5623830793967374,deepseek,100
deepseek,Cosine,0.5276755950445562,deepseek,100
deepseek,Levenshtein,0.589621919485688,deepseek,100
deepseek,BLEU,0.32466791547509893,deepseek,101
deepseek,Cosine,0.8256401267898152,deepseek,101
deepseek,Levenshtein,0.7085149665794828,deepseek,101
deepseek,BLEU,0.37529538055409456,deepseek,102
deepseek,Cosine,0.8546201813361589,deepseek,102
deepseek,Levenshtein,0.7044403330249769,deepseek,102
deepseek,BLEU,0.06803303077000307,deepseek,103
deepseek,Cosine,0.5669757518617633,deepseek,103
deepseek,Levenshtein,0.48224071443068806,deepseek,103
deepseek,BLEU,0.45199859499819456,deepseek,104
deepseek,Cosine,0.5699710923474259,deepseek,104
deepseek,Levenshtein,0.5407429598562012,deepseek,104
deepseek,BLEU,0.41165953868480315,deepseek,105
deepseek,Cosine,0.31760285847551906,deepseek,105
deepseek,Levenshtein,0.42642288410498375,deepseek,105
deepseek,BLEU,0.2369631764374333,deepseek,106
deepseek,Cosine,0.41254680609728456,deepseek,106
deepseek,Levenshtein,0.4912785470239166,deepseek,106
deepseek,BLEU,0.37521045007074194,deepseek,107
deepseek,Cosine,0.8181685788867066,deepseek,107
deepseek,Levenshtein,0.6609009009009009,deepseek,107
deepseek,BLEU,0.015492053781622543,deepseek,108
deepseek,Cosine,0.4070663119804449,deepseek,108
deepseek,Levenshtein,0.45857988165680474,deepseek,108
deepseek,BLEU,0.32904698851980746,deepseek,109
deepseek,Cosine,0.5694598181430268,deepseek,109
deepseek,Levenshtein,0.4662576687116564,deepseek,109
deepseek,BLEU,0.357070195474109,deepseek,110
deepseek,Cosine,0.4942256038000556,deepseek,110
deepseek,Levenshtein,0.407305479109332,deepseek,110
deepseek,BLEU,0.0010886869946776844,deepseek,111
deepseek,Cosine,0.37529604882811535,deepseek,111
deepseek,Levenshtein,0.5536967080410146,deepseek,111
deepseek,BLEU,0.4778443544808481,deepseek,112
deepseek,Cosine,0.6590654367270338,deepseek,112
deepseek,Levenshtein,0.6243131868131868,deepseek,112
deepseek,BLEU,0.7339845832314486,deepseek,113
deepseek,Cosine,0.709103254093397,deepseek,113
deepseek,Levenshtein,0.6172523961661343,deepseek,113
deepseek,BLEU,0.000778730672532385,deepseek,114
deepseek,Cosine,0.4203761195598361,deepseek,114
deepseek,Levenshtein,0.49142857142857144,deepseek,114
deepseek,BLEU,0.31118149655363936,deepseek,115
deepseek,Cosine,0.7075254162231331,deepseek,115
deepseek,Levenshtein,0.5476190476190477,deepseek,115
deepseek,BLEU,0.483114066271578,deepseek,116
deepseek,Cosine,0.5277059652557184,deepseek,116
deepseek,Levenshtein,0.4891640866873065,deepseek,116
deepseek,BLEU,0.01689934912908325,deepseek,117
deepseek,Cosine,0.3860573612183831,deepseek,117
deepseek,Levenshtein,0.34589163975601,deepseek,117
deepseek,BLEU,0.7131199482322279,deepseek,118
deepseek,Cosine,0.7284308898436377,deepseek,118
deepseek,Levenshtein,0.6130296807914878,deepseek,118
deepseek,BLEU,0.37011642414623996,deepseek,119
deepseek,Cosine,0.6400540519737541,deepseek,119
deepseek,Levenshtein,0.550645287446226,deepseek,119
deepseek,BLEU,0.5019339277293313,deepseek,120
deepseek,Cosine,0.7572312467820949,deepseek,120
deepseek,Levenshtein,0.676978417266187,deepseek,120
deepseek,BLEU,0.30052074926276434,deepseek,121
deepseek,Cosine,0.8325449385557481,deepseek,121
deepseek,Levenshtein,0.6907378335949764,deepseek,121
deepseek,BLEU,0.4773638408656313,deepseek,122
deepseek,Cosine,0.8949931297544317,deepseek,122
deepseek,Levenshtein,0.7816492450638792,deepseek,122
deepseek,BLEU,0.5381373293939135,deepseek,123
deepseek,Cosine,0.747632901492021,deepseek,123
deepseek,Levenshtein,0.6311541565778853,deepseek,123
deepseek,BLEU,0.0,deepseek,124
deepseek,Cosine,0.4267088567172273,deepseek,124
deepseek,Levenshtein,0.09498069498069495,deepseek,124
deepseek,BLEU,0.3393317542806722,deepseek,125
deepseek,Cosine,0.33671180057841543,deepseek,125
deepseek,Levenshtein,0.48440134907251264,deepseek,125
deepseek,BLEU,0.021782755202630084,deepseek,126
deepseek,Cosine,0.6762098542607904,deepseek,126
deepseek,Levenshtein,0.6061627347135291,deepseek,126
deepseek,BLEU,0.5790552534075006,deepseek,127
deepseek,Cosine,0.8166815064701576,deepseek,127
deepseek,Levenshtein,0.729090909090909,deepseek,127
deepseek,BLEU,0.30020315204446946,deepseek,128
deepseek,Cosine,0.8186505880917038,deepseek,128
deepseek,Levenshtein,0.7266035751840167,deepseek,128
